Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,,Topic14-主题词,Topic14-权重,,Topic15-主题词,Topic15-权重,
环境,0.038,A3,房间,0.058,A,房间,0.042,A,环境,0.038,A3,房间,0.023,A,房间,0.092,A,不错,0.037,/,房间,0.041,A,房间,0.074,A,房间,0.069,A,民宿,0.053,A,房间,0.06,A,满意,0.071,/,民宿,0.043,A,干净,0.034,A3,酒店,0.025,A
民宿,0.026,A,干净,0.048,A3,干净,0.039,A3,入住,0.03,/,民宿,0.022,A,设施,0.023,A2,房间,0.028,A,民宿,0.04,A,酒店,0.022,A,干净,0.033,A3,干净,0.049,A3,不错,0.032,/,干净,0.046,A3,入住,0.032,/,房间,0.029,A,房间,0.025,A
设施,0.025,A2,体验,0.025,/,入住,0.028,/,民宿,0.025,A,环境,0.018,A3,舒服,0.023,D2,卫生,0.027,A3,推荐,0.032,E,干净,0.021,A3,不错,0.027,/,房间,0.045,A,酒店,0.027,A,房间,0.041,A,体验,0.025,/,满意,0.028,/,位置,0.023,A1
房间,0.021,A,整洁,0.023,A3,不错,0.024,/,卫生,0.024,A3,拍照,0.017,A,干净,0.021,A3,环境,0.023,A3,舒服,0.031,D2,舒服,0.017,D2,环境,0.021,A3,环境,0.033,A3,干净,0.022,A3,环境,0.023,A3,卫生,0.024,A3,舒服,0.02,D2,干净,0.023,A3
卫生,0.02,A3,环境,0.023,A3,卫生,0.022,A3,热情,0.023,C3,舒服,0.016,D2,民宿,0.016,A,干净,0.022,A3,干净,0.027,A3,卫生,0.014,A3,位置,0.02,A1,不错,0.031,/,位置,0.022,A1,感觉,0.019,/,环境,0.021,A3,卫生,0.02,A3,舒服,0.021,D2
感觉,0.016,/,喜欢,0.022,E,设施,0.017,A2,设施,0.023,A2,满意,0.011,/,位置,0.014,A1,推荐,0.021,E,朋友,0.019,/,民宿,0.014,A,卫生,0.019,A3,推荐,0.017,E,卫生,0.019,A3,热情,0.019,C3,干净,0.018,A3,地理位置,0.015,A1,推荐,0.019,E
喜欢,0.013,E,卫生,0.021,A3,环境,0.017,A3,房间,0.022,A,干净,0.011,A3,卫生,0.012,A3,管家,0.013,D,热情,0.018,C3,管家,0.012,D,舒服,0.015,D2,管家,0.013,D,民宿,0.017,A,舒适,0.019,D2,不错,0.018,/,设施,0.015,A2,卫生,0.017,A3
酒店,0.013,A,设施,0.017,A2,交通,0.016,A1,干净,0.02,A3,卫生,0.011,A3,不错,0.012,/,舒服,0.013,D2,酒店,0.017,A,入住,0.01,/,民宿,0.014,A,满意,0.013,/,喜欢,0.016,E,整洁,0.017,A3,设施,0.018,A2,不错,0.013,/,性价比,0.015,E
舒适,0.011,D2,推荐,0.015,E,推荐,0.013,E,选择,0.013,/,体验,0.009,/,入住,0.009,/,位置,0.013,A1,老板,0.014,D,不错,0.009,/,推荐,0.012,E,卫生,0.012,A3,设施,0.014,A2,民宿,0.016,A,房间,0.018,A,位置,0.012,A1,不错,0.015,/
入住,0.011,/,入住,0.014,/,民宿,0.013,A,推荐,0.013,E,很大,0.009,A,体验,0.009,/,开心,0.012,/,喜欢,0.014,E,浴缸,0.007,A2,酒店,0.012,A,位置,0.011,A1,管家,0.013,D,设施,0.014,A2,热情,0.015,C3,酒店,0.012,A,环境,0.013,A3
