所属主题,文章数量,特征词,主题强度
Topic0,125,行业、海口、合同、租赁、楼盘、减免、月份、发放、公司、影响、拆迁、餐饮、入职、旅游、经营、求助、出租车、有限公司、驾驶员、商铺,0.013762
Topic1,424,希望、解决、突发、相关、政府、防控、定金、收入、电话、部门、小区、一拖再拖、核酸、血汗钱、时间、公司、办法、预定、求助、锁定,0.046681
Topic2,231,幼儿园、学校、孩子、伙食费、购房、项目、申请、退费、换证、补贴、影响、家长、材料、提交、体检、驾驶证、入学、月份、务工、证明,0.025432
Topic3,66,月底、发工资、资金、办理、建局、审核、成立、解答、房东、工资、国企、公司、推脱、老板、陕西、希望、四月份、面积、房产证、微薄,0.0072663
Topic4,1279,小区、影响、延期、合同、业主、希望、物业、防控、生活、停课、人员、时间、居民、贷款、考试、工作、管理、开发商、严峻、年月日,0.14081
Topic5,187,毕业、南宁、情况、天水市、想着、小区、物业、缴纳、工作、核酸、人员、项目、公司、社区、酒吧、七里河区、防控、退票、是因为、只能,0.020588
Topic6,3505,防控、政策、考试、人员、工作、希望、建议、核酸、咨询、时间、隔离、原因、书记、检测、风险、影响、学生、学校、减免、请问,0.38589
Topic7,1320,影响、交房、小区、政府、希望、开发商、延期、业主、部门、停工、居民、时间、通知、解决、相关、书记、原因、约定、购买、交付,0.14533
Topic8,1060,防控、政策、隔离、人员、风险、希望、核酸、防疫、书记、政府、请问、情况、地区、建议、影响、相关、西安、学费、一名、管控,0.1167
Topic9,886,工资、工作、有限公司、公司、原因、年月日、希望、退款、幼儿园、月份、老板、退费、费用、解决、谢谢、拖欠、承诺、支付、收费、请问,0.097545
